 ,Mean,StdDev,IntDen,RawIntDen,Slice,microns
1,9.687,4.141,9697.726,3497.000,1,0.000
2,10.593,5.534,10604.548,3824.000,2,2.773
3,11.152,6.378,11164.725,4026.000,3,5.546
4,11.150,5.412,11161.952,4025.000,4,8.319
5,10.975,3.918,10987.243,3962.000,5,11.093
6,10.961,4.065,10973.378,3957.000,6,13.866
7,11.352,4.907,11364.393,4098.000,7,16.639
8,11.770,5.404,11783.139,4249.000,8,19.412
9,12.150,5.652,12163.062,4386.000,9,22.185
10,12.338,4.972,12351.636,4454.000,10,24.958
11,12.330,4.389,12343.317,4451.000,11,27.732
12,12.371,4.612,12384.914,4466.000,12,30.505
13,12.368,5.092,12382.141,4465.000,13,33.278
14,12.155,5.127,12168.608,4388.000,14,36.051
15,11.825,4.399,11838.602,4269.000,15,38.824
16,11.950,5.036,11963.394,4314.000,16,41.597
17,12.230,6.037,12243.483,4415.000,17,44.370
18,12.191,5.882,12204.659,4401.000,18,47.144
19,12.438,8.274,12451.470,4490.000,19,49.917
20,13.111,14.009,13125.347,4733.000,20,52.690
21,13.127,15.485,13141.986,4739.000,21,55.463
22,11.997,10.564,12010.538,4331.000,22,58.236
23,10.986,5.198,10998.336,3966.000,23,61.009
24,11.197,4.900,11209.096,4042.000,24,63.783
25,12.321,8.977,12334.997,4448.000,25,66.556
26,13.543,14.818,13557.959,4889.000,26,69.329
27,14.213,17.943,14229.063,5131.000,27,72.102
28,13.922,13.604,13937.881,5026.000,28,74.875
29,13.283,7.819,13297.282,4795.000,29,77.648
30,13.122,6.070,13136.439,4737.000,30,80.422
31,13.321,6.732,13336.106,4809.000,31,83.195
32,13.856,9.183,13871.326,5002.000,32,85.968
33,14.717,10.760,14733.777,5313.000,33,88.741
34,15.737,11.690,15754.298,5681.000,34,91.514
35,16.446,12.523,16464.226,5937.000,35,94.287
36,16.515,13.141,16533.555,5962.000,36,97.060
37,17.249,15.146,17268.441,6227.000,37,99.834
38,18.731,17.526,18752.080,6762.000,38,102.607
39,20.355,18.958,20377.149,7348.000,39,105.380
40,20.781,16.892,20804.215,7502.000,40,108.153
41,19.693,12.170,19714.365,7109.000,41,110.926
42,18.679,8.577,18699.390,6743.000,42,113.699
43,18.795,8.177,18815.862,6785.000,43,116.473
44,19.795,9.317,19816.972,7146.000,44,119.246
45,21.252,10.293,21275.652,7672.000,45,122.019
46,23.014,11.875,23039.379,8308.000,46,124.792
47,24.371,13.636,24398.225,8798.000,47,127.565
48,25.332,16.421,25360.510,9145.000,48,130.338
49,25.501,17.858,25529.673,9206.000,49,133.111
50,25.260,18.416,25288.408,9119.000,50,135.885
51,25.695,21.811,25723.794,9276.000,51,138.658
52,25.989,20.980,26017.748,9382.000,52,141.431
53,25.679,16.753,25707.155,9270.000,53,144.204
54,25.371,13.902,25399.334,9159.000,54,146.977
55,25.343,13.526,25371.603,9149.000,55,149.750
56,25.629,14.079,25657.238,9252.000,56,152.524
57,26.269,15.162,26297.837,9483.000,57,155.297
58,27.438,16.318,27468.109,9905.000,58,158.070
59,29.161,15.463,29193.012,10527.000,59,160.843
60,31.945,15.996,31980.033,11532.000,60,163.616
61,36.061,19.702,36100.943,13018.000,61,166.389
62,39.055,21.249,39098.724,14099.000,62,169.163
63,39.701,19.967,39744.870,14332.000,63,171.936
64,39.909,20.285,39952.856,14407.000,64,174.709
65,40.147,20.286,40191.348,14493.000,65,177.482
66,40.582,20.333,40626.733,14650.000,66,180.255
67,41.482,21.290,41528.009,14975.000,67,183.028
68,42.729,22.723,42775.929,15425.000,68,185.801
69,42.324,23.732,42371.048,15279.000,69,188.575
70,40.773,22.329,40818.081,14719.000,70,191.348
71,40.296,22.220,40341.098,14547.000,71,194.121
72,40.349,22.411,40393.788,14566.000,72,196.894
73,39.964,19.479,40008.319,14427.000,73,199.667
74,39.396,19.839,39439.823,14222.000,74,202.440
75,37.884,20.950,37925.679,13676.000,75,205.214
76,35.717,18.002,35757.072,12894.000,76,207.987
77,35.753,15.472,35793.123,12907.000,77,210.760
78,38.008,15.891,38050.471,13721.000,78,213.533
79,39.224,15.822,39267.887,14160.000,79,216.306
80,38.607,16.007,38649.473,13937.000,80,219.079
81,37.612,16.322,37653.910,13578.000,81,221.852
82,36.640,16.765,36680.532,13227.000,82,224.626
83,35.945,17.151,35984.470,12976.000,83,227.399
84,35.684,19.622,35723.794,12882.000,84,230.172
85,34.637,20.175,34675.541,12504.000,85,232.945
86,32.745,17.625,32781.475,11821.000,86,235.718
87,30.878,14.529,30912.368,11147.000,87,238.491
88,29.319,13.711,29351.082,10584.000,88,241.265
89,28.319,13.836,28349.972,10223.000,89,244.038
90,27.612,12.575,27642.818,9968.000,90,246.811
91,27.147,11.141,27176.927,9800.000,91,249.584
92,26.596,9.859,26625.069,9601.000,92,252.357
93,25.983,9.826,26012.202,9380.000,93,255.130
94,25.776,10.304,25804.215,9305.000,94,257.903
95,26.033,10.390,26062.119,9398.000,95,260.677
96,26.139,10.193,26167.499,9436.000,96,263.450
97,25.945,10.213,25973.378,9366.000,97,266.223
98,25.632,10.713,25660.011,9253.000,98,268.996
99,25.114,10.804,25141.431,9066.000,99,271.769
100,24.443,10.946,24470.327,8824.000,100,274.542
101,24.202,10.227,24229.063,8737.000,101,277.316
102,24.565,9.673,24592.346,8868.000,102,280.089
103,25.075,10.154,25102.607,9052.000,103,282.862
104,25.177,11.015,25205.214,9089.000,104,285.635
105,25.371,10.945,25399.334,9159.000,105,288.408
106,26.089,11.175,26117.582,9418.000,106,291.181
107,27.463,11.993,27493.067,9914.000,107,293.955
108,29.061,12.896,29093.178,10491.000,108,296.728
109,30.244,15.797,30277.316,10918.000,109,299.501
110,30.490,16.960,30524.126,11007.000,110,302.274
111,29.867,13.699,29900.166,10782.000,111,305.047
112,29.416,12.516,29448.142,10619.000,112,307.820
113,28.856,12.067,28887.965,10417.000,113,310.593
114,28.706,12.301,28738.214,10363.000,114,313.367
115,29.283,13.669,29315.031,10571.000,115,316.140
116,29.512,15.243,29545.202,10654.000,116,318.913
117,28.789,14.008,28821.409,10393.000,117,321.686
118,28.499,11.605,28530.227,10288.000,118,324.459
119,28.748,10.598,28779.811,10378.000,119,327.232
120,29.152,10.483,29184.692,10524.000,120,330.006
121,30.053,11.444,30085.968,10849.000,121,332.779
122,31.521,14.901,31555.740,11379.000,122,335.552
123,32.584,15.821,32620.632,11763.000,123,338.325
124,32.723,13.353,32759.290,11813.000,124,341.098
125,32.801,12.296,32836.938,11841.000,125,343.871
126,33.435,14.521,33471.991,12070.000,126,346.644
127,34.485,19.200,34523.017,12449.000,127,349.418
128,35.211,21.843,35249.584,12711.000,128,352.191
129,35.285,21.752,35324.459,12738.000,129,354.964
130,33.903,23.087,33940.654,12239.000,130,357.737
131,30.884,23.598,30917.915,11149.000,131,360.510
132,26.501,21.081,26530.782,9567.000,132,363.283
133,21.939,16.029,21963.394,7920.000,133,366.057
134,18.967,13.992,18987.798,6847.000,134,368.830
135,17.560,14.164,17579.035,6339.000,135,371.603
136,16.850,12.313,16869.107,6083.000,136,374.376
137,16.399,9.807,16417.083,5920.000,137,377.149
138,15.867,8.731,15884.637,5728.000,138,379.922
139,15.008,9.841,15024.958,5418.000,139,382.696
140,13.975,10.611,13990.571,5045.000,140,385.469
141,12.446,8.623,12459.789,4493.000,141,388.242
142,10.548,5.754,10560.177,3808.000,142,391.015
143,8.812,3.809,8821.409,3181.000,143,393.788
144,7.737,3.349,7745.424,2793.000,144,396.561
